   77   97
AA   1201112011101100222110001011100222210111110100000001110022210000000200100221110111212222200110000   
AB   1001000100110000111000010100000100002012002010000001000111010000000222222222222222222222222222112   
AC   1201222110102222111000002022220100220111100102000001000111010101110002100101110111112211110110220   
AD   1102022110112222222220022222220000002210102200000021020121010110100200111221110111111111110220110   
AE   1120101110222211222000001022101000010102100000000220000101010011001101000001110111002222220000000   
AF   1200102110102222111220022222221000002022100000110221000022200100100202022101110111022211112102221   
AG   1112101110101011111220001010101000010101100000000022200120011001101001100101110111111022020000220   
AH   1100002110111021222220001022222000002021100110011012200022210101010000000221110111202222220000000   
AI   1100122110102211111220001022221100110100100000000022200121010101110201200101110112111022020221000   
AJ   1001000010101000100000000200000100010011100110011012200120010011001101200001110111111111110100000   
AK   1101101010111000222220112000100110010111100110011011100100010101010000222222222222222222222222002   
AL   1202021110100000110000001022100000020010100100100020000121010100000222222222222222222222222222112   
AM   1102001110111100111000112000221100002011100000100001000121110011001101200101110111111011110102100   
AN   1202110110102200110000021010222100010112100110011011000121011100000201200101120111221111110222000   
AO   1121022210221001110220001022100100010112100000000021000121022001100110100001110111220022222220002   
AP   1021110110112200110000101011100100010110100100110011010111110000000222222222222222222222222222002   
AQ   1122112210102200110220201210100100210112100110011011000111010000000200200221120111122222020102220   
AR   2001002100102200100220002222110100002012100100000002200201022000000100011221110111020011020221002   
AS   0001000001111000110000001000101100010011101000000001100022210022222001000221110011111111110100000   
AT   1201222110222200110220211022102100002012100100110000000121110000000200211221110111122211110222110   
AU   1100111110101111111110001011001100110100100110011010000101110000000001010101110110111011020101000   
AV   1221120012111000222220002000220100010111100200000002200201010101011200000221110111102222220102000   
AW   1101101000101100100220001000102100010111100000000011100022210000000011000221110111002222220100000   
AX   2001002100220000222220002210220100002012100101100022202211010000000202200221110111111011110100000   
AY   1101110110101100110100011022100110210112100110011012200111011000000011100101110111111111110110220   
AZ   1002101100220002222000002022221100010012100110011012220121010110000202000221110111120011020220220   
BA   1101101110102211111220101011102100110111100100110011010111010100000001100221110111111111110100110   
BB   1101000111112200111000110000221000002011100100110001000022200110011010100101110111111111112220112   
BC   1121101110222220111220202022222000222211100000000021020121022111110002200221110111212222210100220   
BD   1201122110222221222220002022102000010211100200000001000221010111011002200001110111211111110100000   
BE   1001201110110000110220002000221000002001100000100001000101010101110001000001110111002222220100220   
BF   1101211110101020110000201011100111010011100100000001020111010000000001100101110111110011020100110   
BG   1100102100001011110000001022100100010111100110011011000111010000000001100001110111111022020101000   
BH   1001111010102200110011011022100100010112100200000002200111022000000202200222220111122222020221000   
BI   1100112110101122110220011022101100002110100100000011000121011100101001000101110111111111111100220   
BJ   1121122210222200222222201022222100210211100110011012200111010101010011000001110111002222220100000   
BK   1121221110100000222000002022222000010212100110011012200121010101010000000001110111202222220220000   
BL   1101212110222200110000001011100222011112110000000002200111011000000002200101110111122211020100000   
BM   1201001120112202111220222022220100002012100120000001000121010000000200222222220111122211210222000   
BN   1201202100222200111220101000111000002010100100110221001101000110000101000221110111111111110102110   
BO   1001021100220000110000002000100100002010100200000001000121010100000000010002200111222222220001111   
BP   1201122110102222222220001022220100010112100200000000020111010101010202200221110111122211210100110   
BQ   1101011010101100222222012011100222012110100110011011100110011000000001011101110111011000021101000   
BR   0002202100222200111220001000222100002011100120100101000121022000000100011002220111022211022001110   
BS   1101001110112201110220002022112100002210100100000001000111010000000001000221110111121111110220112   
BT   1020201011111000100110011010220000002011100110011011100022210000000111000001110111002222222220002   
BU   2001001110101002110000001000221100010112100200100002200111011000000100010001001111222222220001002   
BV   1200210110221000110101001022102100010112100000000021000121010011001101010001110111011011020100000   
BW   1001022110221000110220022222220100020110112000000002200111011000000200000001110111121111110100000   
BX   0000001100110000110220001100220000002012100010000001000101010100000022222222222222222222222222112   
BY   1101110110101100111220001010220111002111111100000001100101010000000022222222222222222222222222102   
BZ   2002000200221100100220020111220111102111110101000002211022210000000200200101110111111011110100110   
CA   0001001100101000222220002000220100002012100110100201001022210000000100222222220111222211020221000   
CB   1100111110101112111110111011101100110100100110011012200101110000000001100111110110111011022222002   
CC   1001201110100000110000001000220000010211100110011010000111010000000001000221110111111111110100000   
CD   1100111110101011111100001010221100110100100110011010000121022101010001000001110110111010000101002   
CE   1101002010101001100110101022100100010111100110011011100112210000000200222222222222222222222222002   
CF   1101101110102211111000102022101000110112100100000001000111010011001101200101110111011111110100000   
CG   1101001100220000100220020100000111102112100101000001002211010000000001200221110111112211020101000   
CH   2001001110110001110000022000101100010220100100000001000121010000000100010001001011222222221001001   
CI   2001001000100000110220021000101000010000100200000002200111011000000100010001000100222222221001000   
CJ   0000001012222200222000002010000100102110100000110001100022211000000100000101110111122211020100220   
CK   1101111110001100110000101011100111012111110000000001000111011000000222222222222222222222222222002   
CL   1001201010111002110000002010222000002021100000000021100022210000000100000001110111221022022100000   
CM   0110102110102211110000001011101000010101100000000210000022210011001101000001110111002222220100000   
CN   1001021110101000110000001010100222210111100100000002200111010000000101010101100101222222220101220   
CO   1001101011112200100220002000220100020011100100000001100200022101010002000001110111111011020220000   
CP   1101112110101011111110001011101000110101100200000001010111010000000001100101110111102222220100110   
CQ   2001022100220000222000000100000100022011100110000022200022210100110011010221110111111011020100000   
CR   1001101112111002111220002022222000002011100100000001000022210110000000222222220111121111110102112   
CS   1121211110101120110000001011100111110111100100000001010111010011001101200101110111112211022220112   
CT   0000002100102200110220001000221000002011100210000201002200110011010200010000000111222222220001111   
CU   1101012210001100222100011010100111011110110000000002200111022000000222222222222222222222222222002   
CV   1101000100111100110000001000220000002110100100111001000022210110000000100221110111111111110110110   
CW   1101101100102201111000001010222000010011100000000022200121001100110101000001110111102222220101110   
CX   1121102110102211222000001022101000202021100110011012220221010000000011000001110111102222220100000   
CY   0002000110100000110110001000001100010000100100000001000100022000000201010001001011222222222001001   
