          47         151
N0001               2200210122120111201020102112121020101002200211210211100100102212011122022201221000211002000212100220202022020010120111011121210111210012112120100201221 
N0002               0121021222102010222001200222111001211122110201000020111101100102100112211100202102120211000221222202002211012001122010110210100220202000210111022102200 
N0003               2001210101012210220000111100020222112000022020120011102201222100220100102011021111212202011122022012210101110121010101220222111010100101110200001210002 
N0004               0002210022200101100101111101010201111000221211010001022021222110101010211001221000022000212120100222112210102112211001211101112010110122021101221121100 
N0005               0210011200021220102110120021202211022220101122201221200212220111221201020111210210100100112022201220021220010102112122200010102010011202111010210012121 
N0006               2000110000000121112122111020001011010202201000211120100111201022210100011101222221002021122222102211211002012012111012010221202212000120022100100212220 
N0007               2111100010022112112210002101000111201020020001201100002011200012000110211222122100202010110002202201021010111020101211121022221022111111100010002001112 
N0008               0220020112102111221101120212111020220111000211010110010122100211022120121001202211002101211011022110000002011221221020200102110001111201011210000210100 
N0009               2101001201111112010002100002010001212121111202212001012100012202200200000020021100201202102002020120111002201112112221212111001110001011101022100222212 
N0010               1112202122211102000000010221021002121111122112002220202022201100202222212021202002121100012100020011210101120102212121110002210121000122110212220100001 
N0011               1102011201211210200012100222020101200112122002022110122220211022100000012021101020112011121021021012211002020002211000010220111002220222202211102010012 
N0012               1200222102100020200120212202100211202201122211112221220200110120112201112102210101222112121122010021102112210222202201111020200010211101101000010220012 
N0013               0112102122210112011210012010011100001012201002120022012020012020021001020200112010001220112022001200111100121012210010000000211012012202120111202021011 
N0014               1220201212120202100100100100110100002100022212110111111200100120101110020210001012102102220001012222211202112112112112102010120102001122021202122221020 
N0015               1001102012112111110100211120010111212220112000202001012012120212002100011100001212212121211221100121111220021001112100102110201010011011021122021210002 
N0016               1110202220000000201201110101020121110021111101021021012200112122111122012220011001201022202212012202212211210222000012211112212002112120110021112011201 
N0017               2100122111110020101101111001012020100021022110112221101200021012200211210101220020120202000110211200221012110121222211120220201100002012110010212021000 
N0018               2102122002111201121021222000210201101121221110110100210111012010000210002100010112001012001011202210121010112021021121212211212021202202121002011000210 
N0019               2020121000121012120221010121100122011122210101012011120111111102000001111002211011102011001011021102112010112101202112022110020122010100200111100001002 
N0020               0201210000012211210012122111221102121011010011022010011010000120022112021011210222011122221210200002020101120201101200211220000011001011101020022120102 
N0021               1121000012120020022110022201002221022021111121211222011221201112001101021020011210210102010222021012222101221001020201222100001011100201022112012010200 
N0022               1002012212220111202200201110012012111210022002200111000001201122011002201010201201121120211100012201201010210101100211002021020000211101012020001201000 
N0023               2110102112102111010111001211111120002020120220011210211022121022102011101011122000222102010220122222201010202010220120000202002100221110110001120210011 
N0024               1011210101011021011021021220012121210020212112211010211021122000021101221022110200100100210122211101220111021121001210022112200222112111202202212010211 
N0025               2110211121020101221211110100022120202100102001000220010201210100110011211102210001001212120010111211011221110100000011012101000200210222221222202021112 
N0026               2100212211020011221211011002101210001121021211022220001121200121010201011011010102102022020102110112111100211202102200102001020001220112112220211111011 
N0027               1200202110002012000120221012101201212000221102210100101020200201100212211102011020202122102112001112010201021122020212001201001122002101100222000020210 
N0028               2010201010211201200112120112000202010122012212010211222210001012211020200201100111022222120011000010222001200201020002112102120110200210212211121110000 
N0029               1101121211112110000100220222001010111222211220202120102110201122220121110120010120011110011020112022211212012201111022120012000012221000002101011101221 
N0030               2100121220002111122020010010110221100210100010121110122102210211001212120012201011222012010201101111212212112020012211022011020212000010010001201000012 
N0031               2001210101022002220120121012002101212122102002101012011200121011120001021011111100100112202021111201210001120212122120120120120022020200102111012112112 
N0032               1221210020102110101120100120012212121210201200000120112222110010102220220020121010110110102000122210122010012221122120210121202102110022100102012000200 
N0033               1210212000112120000112021000121102022201002101010112200220200212210102100000122001002111210021220111112220011112111121212202222112222100101202202110221 
N0034               2010212102011211120201210101221101011122211101201010002221002012021012112101211112200211101201002101211112012000201211121221122102100211021000211101110 
N0035               0002012121110112002222120220120222110121121010120221200022200021210200002221110012001001120022110002122210102010121001202110000201000220000021022112101 
N0036               0111111010101101201111012011120010101210112120120121122121002111122222122011221121001020210102111001010021210212111010022200021121101000222020111122211 
N0037               0211122001121120102210100112001001011100212002202200201120101021020201100121111000121212110110022002201010002220112220111221011210200020101211101022120 
N0038               1002202000110112101001202022000002100000211122101200211120110010222010200121220102212111121220102120121111111011002221112220012221010010212011012111121 
N0039               2012012120020220200211100210110022201202022001220221100021102222012000210010122221222121211201022222200012020011222201011120111222200121110200022021210 
N0040               0000012011000112101002120002120121212201120212000222010012112110000112102101020220201220102111020001112211222110220102112112020121202200210200221112101 
N0041               1012102121212202100022101211201201222200010021010021102101101100112100120001012210012110100001011110000110000210200222110022122111200210201212112102102 
N0042               1000021010012021110200112011220210020220101111100211211102200022210221221020021001112101122121220120002201002101002200002200212210112201120120001010000 
N0043               1202021221000200120222202200000122201101101101202122201200000010222000021212102110212112200021210211211021212011200220212000111121111212122002200011201 
N0044               1000101112100202201020120121102202020000000112221221102021120110100022022022212211100222102010220120002100212110021111211202020011000021012001100110120 
N0045               2121001210022220012101220020110122122101200101220210002011212202210201122011100011010111001020102021201112102022200001112120010022210001110122111012021 
N0046               1112120111010110201110211101201220222100020101010222121211111120000020102112101120100212020110201222101120122100111000012010011001112202222211021001110 
N0047               0221222102202021001102021120221202101201121210120212211001201221211010011000022001100212122221102111022202112112211001101210010011001021120121000012112 
